PLAYER_ID,PLAYER_NAME,GP,MIN,MIN_TOT,PTS,PTS_TOT,REB,REB_TOT,AST,AST_TOT,STL,STL_TOT,BLK,BLK_TOT,FG_PCT,FG3_PCT,USG_PCT,IS_CASSPI
201956,Omri Casspi,69,27.3,1880.405,11.8,813,5.9,410,1.4,95,0.8,56,0.2,17,0.481,0.409,0.174,True
201166,Aaron Brooks,69,16.1,1107.71,7.1,491,1.5,101,2.6,180,0.4,30,0.1,10,0.401,0.357,0.225,False
203932,Aaron Gordon,78,23.9,1863.12,9.2,719,6.5,507,1.6,128,0.8,59,0.7,55,0.473,0.296,0.169,False
1626151,Aaron Harrison,21,4.4,93.3,0.9,18,0.7,15,0.1,2,0.3,6,0.0,0,0.263,0.3,0.132,False
203940,Adreian Payne,52,9.3,485.59,2.5,132,2.1,111,0.6,29,0.3,16,0.2,11,0.366,0.281,0.175,False
201143,Al Horford,82,32.1,2631.181666666667,15.2,1249,7.3,596,3.2,263,0.8,68,1.5,121,0.505,0.344,0.202,False
2744,Al Jefferson,47,23.3,1096.4383333333333,12.0,562,6.4,301,1.5,70,0.6,30,0.9,41,0.485,0.0,0.24,False
202329,Al-Farouq Aminu,82,28.5,2340.8883333333333,10.2,839,6.1,499,1.7,138,0.9,72,0.6,53,0.416,0.361,0.166,False
101187,Alan Anderson,13,14.8,192.18333333333334,5.0,65,2.1,27,1.1,14,0.3,4,0.1,1,0.356,0.324,0.151,False
1626210,Alan Williams,10,6.8,68.15,2.9,29,3.8,38,0.5,5,0.4,4,0.5,5,0.417,0.0,0.194,False
202692,Alec Burks,31,25.7,797.2733333333333,13.3,412,3.5,109,2.0,63,0.6,18,0.1,4,0.41,0.405,0.246,False
203458,Alex Len,78,23.3,1820.795,9.0,703,7.6,594,1.2,97,0.5,38,0.8,62,0.423,0.143,0.202,False
1627293,Alex Stepheson,8,9.0,72.15166666666667,2.8,22,3.5,28,0.3,2,0.1,1,0.6,5,0.333,0.0,0.166,False
201582,Alexis Ajinca,59,14.6,860.715,6.0,352,4.6,269,0.5,31,0.3,19,0.6,36,0.476,0.0,0.201,False
203459,Allen Crabbe,81,26.0,2104.9583333333335,10.3,832,2.7,216,1.2,99,0.8,63,0.2,16,0.459,0.393,0.159,False
202087,Alonzo Gee,73,22.4,1632.0016666666668,4.5,325,3.4,245,1.0,72,0.9,63,0.2,13,0.518,0.283,0.091,False
2405,Amar'e Stoudemire,52,14.7,762.3016666666666,5.8,300,4.3,222,0.5,27,0.3,18,0.8,41,0.566,0.0,0.176,False
101161,Amir Johnson,79,22.8,1800.1283333333333,7.3,577,6.4,505,1.7,138,0.7,52,1.1,83,0.585,0.233,0.136,False
2760,Anderson Varejao,53,9.4,495.6066666666667,2.6,138,2.7,141,0.7,35,0.3,16,0.2,10,0.427,0.0,0.143,False
203083,Andre Drummond,81,32.9,2665.4666666666667,16.2,1314,14.8,1198,0.8,67,1.5,119,1.4,112,0.521,0.333,0.239,False
2738,Andre Iguodala,65,26.6,1731.6416666666667,7.0,457,4.0,263,3.4,219,1.1,73,0.3,19,0.478,0.351,0.117,False
1889,Andre Miller,39,11.8,461.19,3.7,144,1.3,51,2.2,87,0.4,16,0.0,0,0.557,0.25,0.156,False
203460,Andre Roberson,70,22.2,1553.2916666666667,4.8,337,3.6,251,0.7,47,0.8,53,0.6,42,0.496,0.311,0.092,False
200745,Andrea Bargnani,46,13.8,633.66,6.6,304,2.1,97,0.4,18,0.1,4,0.2,9,0.455,0.188,0.227,False
101106,Andrew Bogut,70,20.7,1451.26,5.4,375,7.0,492,2.3,162,0.5,33,1.6,114,0.627,1.0,0.115,False
202726,Andrew Goudelock,8,6.2,49.708333333333336,2.8,22,0.3,2,0.5,4,0.8,6,0.3,2,0.45,0.111,0.234,False
203094,Andrew Nicholson,56,14.7,822.7716666666666,6.9,384,3.6,201,0.4,25,0.2,10,0.4,22,0.471,0.36,0.205,False
203952,Andrew Wiggins,81,35.1,2844.59,20.7,1675,3.6,291,2.0,164,1.0,78,0.6,46,0.459,0.3,0.267,False
203461,Anthony Bennett,19,4.4,84.24666666666667,1.5,28,1.2,23,0.0,0,0.3,5,0.0,0,0.296,0.214,0.166,False
1626148,Anthony Brown,29,20.6,598.6666666666666,4.0,115,2.4,70,0.7,19,0.5,14,0.2,5,0.31,0.286,0.109,False
203076,Anthony Davis,61,35.5,2164.26,24.3,1481,10.3,627,1.9,116,1.3,78,2.0,125,0.493,0.324,0.29,False
201627,Anthony Morrow,68,13.6,926.4316666666666,5.6,380,0.9,62,0.4,24,0.3,22,0.1,5,0.408,0.387,0.167,False
201229,Anthony Tolliver,72,18.6,1340.61,5.3,383,3.2,229,0.7,52,0.4,26,0.2,16,0.386,0.36,0.122,False
203462,Archie Goodwin,57,19.5,1113.7783333333334,8.9,505,2.5,142,2.1,118,0.5,27,0.2,13,0.417,0.232,0.227,False
203382,Aron Baynes,81,15.2,1232.9466666666667,6.3,514,4.7,384,0.6,51,0.3,21,0.6,52,0.505,0.0,0.184,False
201167,Arron Afflalo,71,33.4,2370.923333333333,12.8,909,3.7,266,2.0,144,0.4,25,0.1,10,0.443,0.382,0.178,False
203085,Austin Rivers,67,21.8,1463.775,8.9,593,1.9,130,1.5,99,0.7,48,0.1,9,0.438,0.335,0.188,False
202340,Avery Bradley,76,33.4,2536.1233333333334,15.2,1155,2.9,220,2.1,158,1.5,117,0.3,19,0.447,0.361,0.197,False
1626253,Axel Toupane,21,14.5,305.425,3.6,76,1.5,31,0.7,15,0.3,7,0.3,6,0.357,0.325,0.122,False
203463,Ben McLemore,68,21.2,1442.7833333333333,7.8,531,2.2,148,1.2,79,0.8,52,0.1,10,0.429,0.362,0.172,False
2757,Beno Udrih,44,16.1,707.6533333333333,4.7,205,1.6,72,2.6,116,0.3,14,0.0,1,0.434,0.341,0.167,False
202687,Bismack Biyombo,82,22.0,1807.8433333333332,5.5,454,8.0,655,0.4,29,0.2,19,1.6,133,0.542,0.0,0.114,False
201933,Blake Griffin,35,33.4,1170.2816666666668,21.4,749,8.4,294,4.9,170,0.8,28,0.5,17,0.499,0.333,0.289,False
1626246,Boban Marjanovic,54,9.4,507.805,5.5,297,3.6,194,0.4,21,0.2,12,0.4,23,0.603,0.0,0.22,False
1626171,Bobby Portis,62,17.8,1102.08,7.0,436,5.4,337,0.8,52,0.4,25,0.4,22,0.427,0.308,0.203,False
