LOC_X,LOC_Y,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_MADE_FLAG,GAME_DATE,SEASON,PERIOD,ACTION_TYPE,SHOT_RESULT
-74,120,In The Paint (Non-RA),Left Side(L),8-16 ft.,0,20151028,2015-16,1,Jump Shot,Missed
0,1,Restricted Area,Center(C),Less Than 8 ft.,1,20151028,2015-16,1,Driving Dunk Shot,Made
-83,16,Mid-Range,Left Side(L),8-16 ft.,0,20151028,2015-16,2,Jump Shot,Missed
64,237,Above the Break 3,Center(C),24+ ft.,1,20151028,2015-16,4,Jump Shot,Made
107,7,Mid-Range,Right Side(R),8-16 ft.,0,20151028,2015-16,4,Jump Shot,Missed
0,1,Restricted Area,Center(C),Less Than 8 ft.,1,20151030,2015-16,1,Driving Dunk Shot,Made
-7,36,Restricted Area,Center(C),Less Than 8 ft.,1,20151030,2015-16,1,Tip Layup Shot,Made
169,198,Above the Break 3,Right Side Center(RC),24+ ft.,0,20151030,2015-16,2,Jump Shot,Missed
-233,95,Above the Break 3,Left Side Center(LC),24+ ft.,0,20151030,2015-16,2,Jump Shot,Missed
4,23,Restricted Area,Center(C),Less Than 8 ft.,1,20151030,2015-16,2,Layup Shot,Made
53,7,In The Paint (Non-RA),Center(C),Less Than 8 ft.,0,20151030,2015-16,3,Running Jump Shot,Missed
-19,26,Restricted Area,Center(C),Less Than 8 ft.,1,20151030,2015-16,4,Layup Shot,Made
-22,13,Restricted Area,Center(C),Less Than 8 ft.,1,20151030,2015-16,4,Driving Layup Shot,Made
37,62,In The Paint (Non-RA),Center(C),Less Than 8 ft.,0,20151030,2015-16,4,Jump Shot,Missed
33,61,In The Paint (Non-RA),Center(C),Less Than 8 ft.,0,20151031,2015-16,1,Jump Shot,Missed
-12,0,Restricted Area,Center(C),Less Than 8 ft.,1,20151031,2015-16,1,Layup Shot,Made
-6,257,Above the Break 3,Center(C),24+ ft.,1,20151031,2015-16,1,Jump Shot,Made
-34,36,In The Paint (Non-RA),Center(C),Less Than 8 ft.,0,20151031,2015-16,2,Running Jump Shot,Missed
78,36,In The Paint (Non-RA),Right Side(R),8-16 ft.,1,20151031,2015-16,3,Jump Bank Shot,Made
-1,21,Restricted Area,Center(C),Less Than 8 ft.,1,20151031,2015-16,3,Cutting Finger Roll Layup Shot,Made
69,7,In The Paint (Non-RA),Center(C),Less Than 8 ft.,0,20151103,2015-16,1,Jump Shot,Missed
228,8,Right Corner 3,Right Side(R),24+ ft.,1,20151103,2015-16,1,Jump Shot,Made
-232,7,Left Corner 3,Left Side(L),24+ ft.,0,20151103,2015-16,2,Jump Shot,Missed
127,7,Mid-Range,Right Side(R),8-16 ft.,0,20151103,2015-16,3,Jump Shot,Missed
73,57,In The Paint (Non-RA),Right Side(R),8-16 ft.,0,20151103,2015-16,3,Jump Shot,Missed
-1,19,Restricted Area,Center(C),Less Than 8 ft.,0,20151103,2015-16,3,Layup Shot,Missed
4,31,Restricted Area,Center(C),Less Than 8 ft.,0,20151103,2015-16,4,Jump Shot,Missed
74,237,Above the Break 3,Center(C),24+ ft.,1,20151104,2015-16,3,Step Back Jump shot,Made
-52,2,In The Paint (Non-RA),Center(C),Less Than 8 ft.,0,20151104,2015-16,3,Jump Shot,Missed
55,259,Above the Break 3,Center(C),24+ ft.,1,20151104,2015-16,3,Jump Shot,Made
-35,36,In The Paint (Non-RA),Center(C),Less Than 8 ft.,0,20151104,2015-16,4,Jump Shot,Missed
-16,11,Restricted Area,Center(C),Less Than 8 ft.,0,20151104,2015-16,4,Layup Shot,Missed
17,7,Restricted Area,Center(C),Less Than 8 ft.,0,20151106,2015-16,1,Layup Shot,Missed
-169,178,Above the Break 3,Left Side Center(LC),24+ ft.,1,20151106,2015-16,1,Jump Shot,Made
15,77,In The Paint (Non-RA),Center(C),Less Than 8 ft.,1,20151106,2015-16,2,Running Jump Shot,Made
4,264,Above the Break 3,Center(C),24+ ft.,0,20151106,2015-16,2,Jump Shot,Missed
10,41,In The Paint (Non-RA),Center(C),Less Than 8 ft.,1,20151106,2015-16,2,Cutting Finger Roll Layup Shot,Made
9,13,Restricted Area,Center(C),Less Than 8 ft.,1,20151106,2015-16,3,Layup Shot,Made
28,21,Restricted Area,Center(C),Less Than 8 ft.,1,20151106,2015-16,3,Cutting Layup Shot,Made
20,11,Restricted Area,Center(C),Less Than 8 ft.,1,20151106,2015-16,3,Driving Layup Shot,Made
-45,262,Above the Break 3,Center(C),24+ ft.,1,20151106,2015-16,3,Jump Shot,Made
-79,16,In The Paint (Non-RA),Left Side(L),8-16 ft.,1,20151106,2015-16,4,Jump Shot,Made
10,277,Above the Break 3,Center(C),24+ ft.,0,20151107,2015-16,2,Jump Shot,Missed
-12,65,In The Paint (Non-RA),Center(C),Less Than 8 ft.,0,20151107,2015-16,3,Floating Jump shot,Missed
2,262,Above the Break 3,Center(C),24+ ft.,0,20151107,2015-16,3,Jump Shot,Missed
-235,23,Left Corner 3,Left Side(L),24+ ft.,1,20151107,2015-16,3,Jump Shot,Made
37,21,In The Paint (Non-RA),Center(C),Less Than 8 ft.,1,20151107,2015-16,3,Layup Shot,Made
-168,193,Above the Break 3,Left Side Center(LC),24+ ft.,1,20151107,2015-16,3,Jump Shot,Made
-29,18,Restricted Area,Center(C),Less Than 8 ft.,1,20151107,2015-16,4,Cutting Layup Shot,Made
236,21,Right Corner 3,Right Side(R),24+ ft.,0,20151109,2015-16,1,Jump Shot,Missed
28,11,Restricted Area,Center(C),Less Than 8 ft.,1,20151109,2015-16,1,Layup Shot,Made
38,75,In The Paint (Non-RA),Center(C),8-16 ft.,0,20151109,2015-16,1,Jump Shot,Missed
-2,65,In The Paint (Non-RA),Center(C),Less Than 8 ft.,0,20151109,2015-16,2,Floating Jump shot,Missed
-14,28,Restricted Area,Center(C),Less Than 8 ft.,1,20151109,2015-16,2,Driving Layup Shot,Made
-12,278,Above the Break 3,Center(C),24+ ft.,0,20151109,2015-16,2,Jump Shot,Missed
22,23,Restricted Area,Center(C),Less Than 8 ft.,0,20151109,2015-16,2,Cutting Layup Shot,Missed
228,2,Right Corner 3,Right Side(R),24+ ft.,1,20151109,2015-16,3,Jump Shot,Made
1,244,Above the Break 3,Center(C),24+ ft.,1,20151109,2015-16,4,Jump Shot,Made
9,11,Restricted Area,Center(C),Less Than 8 ft.,1,20151109,2015-16,4,Layup Shot,Made
1,26,Restricted Area,Center(C),Less Than 8 ft.,1,20151109,2015-16,4,Finger Roll Layup Shot,Made
-40,31,In The Paint (Non-RA),Center(C),Less Than 8 ft.,0,20151109,2015-16,4,Hook Shot,Missed
10,9,Restricted Area,Center(C),Less Than 8 ft.,1,20151109,2015-16,4,Finger Roll Layup Shot,Made
-42,36,In The Paint (Non-RA),Center(C),Less Than 8 ft.,0,20151109,2015-16,4,Driving Hook Shot,Missed
232,7,Right Corner 3,Right Side(R),24+ ft.,1,20151111,2015-16,1,Jump Shot,Made
-107,228,Above the Break 3,Left Side Center(LC),24+ ft.,0,20151111,2015-16,2,Jump Shot,Missed
-27,13,Restricted Area,Center(C),Less Than 8 ft.,1,20151111,2015-16,2,Driving Layup Shot,Made
19,62,In The Paint (Non-RA),Center(C),Less Than 8 ft.,1,20151111,2015-16,2,Running Jump Shot,Made
