SEASON,PERIOD,SHOT_ZONE_BASIC,FGA,FGM,FG_PCT
2015-16,1,Above the Break 3,40,18,0.45
2015-16,1,In The Paint (Non-RA),27,8,0.2962962962962963
2015-16,1,Left Corner 3,7,4,0.5714285714285714
2015-16,1,Mid-Range,1,0,0.0
2015-16,1,Restricted Area,54,36,0.6666666666666666
2015-16,1,Right Corner 3,9,3,0.3333333333333333
2015-16,2,Above the Break 3,70,25,0.35714285714285715
2015-16,2,In The Paint (Non-RA),35,17,0.4857142857142857
2015-16,2,Left Corner 3,4,1,0.25
2015-16,2,Mid-Range,4,1,0.25
2015-16,2,Restricted Area,51,32,0.6274509803921569
2015-16,2,Right Corner 3,10,4,0.4
2015-16,3,Above the Break 3,54,24,0.4444444444444444
2015-16,3,Backcourt,1,0,0.0
2015-16,3,In The Paint (Non-RA),26,11,0.4230769230769231
2015-16,3,Left Corner 3,2,1,0.5
2015-16,3,Mid-Range,9,1,0.1111111111111111
2015-16,3,Restricted Area,44,29,0.6590909090909091
2015-16,3,Right Corner 3,7,4,0.5714285714285714
2015-16,4,Above the Break 3,61,25,0.4098360655737705
2015-16,4,In The Paint (Non-RA),32,7,0.21875
2015-16,4,Left Corner 3,2,1,0.5
2015-16,4,Mid-Range,2,1,0.5
2015-16,4,Restricted Area,63,44,0.6984126984126984
2015-16,4,Right Corner 3,5,2,0.4
2015-16,5,Above the Break 3,1,0,0.0
2015-16,6,Above the Break 3,1,0,0.0
