GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM,SEASON
Shot Chart Detail,0022000013,56,1630166,Deni Avdija,1610612764,Washington Wizards,1,7,8,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-206,134,1,1,20201223,PHI,WAS,2020-21
Shot Chart Detail,0022000013,381,1630166,Deni Avdija,1610612764,Washington Wizards,3,8,42,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-46,255,1,1,20201223,PHI,WAS,2020-21
Shot Chart Detail,0022000024,14,1630166,Deni Avdija,1610612764,Washington Wizards,1,10,44,Made Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,20,47,1,1,20201226,WAS,ORL,2020-21
Shot Chart Detail,0022000024,679,1630166,Deni Avdija,1610612764,Washington Wizards,4,2,45,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-171,204,1,1,20201226,WAS,ORL,2020-21
Shot Chart Detail,0022000033,20,1630166,Deni Avdija,1610612764,Washington Wizards,1,10,33,Made Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,28,-151,236,1,1,20201227,WAS,ORL,2020-21
Shot Chart Detail,0022000033,68,1630166,Deni Avdija,1610612764,Washington Wizards,1,6,7,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-234,3,1,0,20201227,WAS,ORL,2020-21
Shot Chart Detail,0022000033,276,1630166,Deni Avdija,1610612764,Washington Wizards,2,3,22,Made Shot,Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,41,32,1,1,20201227,WAS,ORL,2020-21
Shot Chart Detail,0022000033,296,1630166,Deni Avdija,1610612764,Washington Wizards,2,1,40,Made Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-13,32,1,1,20201227,WAS,ORL,2020-21
Shot Chart Detail,0022000033,338,1630166,Deni Avdija,1610612764,Washington Wizards,3,10,54,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,0,18,1,1,20201227,WAS,ORL,2020-21
Shot Chart Detail,0022000033,382,1630166,Deni Avdija,1610612764,Washington Wizards,3,6,31,Missed Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-25,7,1,0,20201227,WAS,ORL,2020-21
