SEASON,METRIC,DENI_VALUE,ABS_RANK,PERCENTILE,TOTAL_PLAYERS
2020-21,PTS,6.3,271,22.7,353
2020-21,REB,4.9,108,68.6,353
2020-21,AST,1.2,245,26.3,353
2020-21,STL,0.6,198,31.4,353
2020-21,BLK,0.3,179,35.1,353
2020-21,FG_PCT,0.42,275,21.2,353
2020-21,FG3_PCT,0.32,258,26.3,353
2020-21,PLUS_MINUS,-1.5,244,28.9,353
2021-22,PTS,8.4,205,41.6,351
2021-22,REB,5.2,100,70.1,351
2021-22,AST,2.0,156,53.0,351
2021-22,STL,0.7,149,46.2,351
2021-22,BLK,0.5,100,63.2,351
2021-22,FG_PCT,0.43,227,34.8,351
2021-22,FG3_PCT,0.32,239,30.8,351
2021-22,PLUS_MINUS,-0.8,224,35.6,351
2022-23,PTS,9.2,186,45.2,345
2022-23,REB,6.4,56,82.6,345
2022-23,AST,2.8,114,65.5,345
2022-23,STL,0.9,80,68.1,345
2022-23,BLK,0.4,125,51.6,345
2022-23,FG_PCT,0.44,241,29.9,345
2022-23,FG3_PCT,0.3,278,19.4,345
2022-23,PLUS_MINUS,-0.7,214,36.2,345
2023-24,PTS,14.7,93,72.8,345
2023-24,REB,7.2,39,88.1,345
2023-24,AST,3.8,79,76.2,345
2023-24,STL,0.8,121,56.5,345
2023-24,BLK,0.5,117,55.4,345
2023-24,FG_PCT,0.51,82,76.2,345
2023-24,FG3_PCT,0.37,131,61.2,345
2023-24,PLUS_MINUS,-4.4,312,9.6,345
2024-25,PTS,16.9,68,80.1,341
2024-25,REB,7.3,40,88.3,341
2024-25,AST,3.9,75,77.4,341
2024-25,STL,1.0,75,71.6,341
2024-25,BLK,0.5,96,59.8,341
2024-25,FG_PCT,0.48,124,63.0,341
2024-25,FG3_PCT,0.36,135,59.2,341
2024-25,PLUS_MINUS,-1.1,222,32.6,341
2025-26,PTS,26.1,15,95.4,345
2025-26,REB,7.1,41,87.8,345
2025-26,AST,6.9,11,95.9,345
2025-26,STL,0.9,104,60.0,345
2025-26,BLK,0.6,78,69.3,345
2025-26,FG_PCT,0.47,154,55.1,345
2025-26,FG3_PCT,0.35,147,56.2,345
2025-26,PLUS_MINUS,0.6,138,57.4,345
