LOC_X,LOC_Y,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_MADE_FLAG,GAME_DATE,SEASON,PERIOD,ACTION_TYPE,SHOT_RESULT
-206,134,Above the Break 3,Left Side Center(LC),24+ ft.,1,20201223,2020-21,1,Jump Shot,Made
-46,255,Above the Break 3,Center(C),24+ ft.,1,20201223,2020-21,3,Jump Shot,Made
20,47,In The Paint (Non-RA),Center(C),Less Than 8 ft.,1,20201226,2020-21,1,Driving Layup Shot,Made
-171,204,Above the Break 3,Left Side Center(LC),24+ ft.,1,20201226,2020-21,4,Jump Shot,Made
-151,236,Above the Break 3,Left Side Center(LC),24+ ft.,1,20201227,2020-21,1,Jump Shot,Made
-234,3,Left Corner 3,Left Side(L),24+ ft.,0,20201227,2020-21,1,Jump Shot,Missed
41,32,In The Paint (Non-RA),Center(C),Less Than 8 ft.,1,20201227,2020-21,2,Layup Shot,Made
-13,32,Restricted Area,Center(C),Less Than 8 ft.,1,20201227,2020-21,2,Running Layup Shot,Made
0,18,Restricted Area,Center(C),Less Than 8 ft.,1,20201227,2020-21,3,Cutting Layup Shot,Made
-25,7,Restricted Area,Center(C),Less Than 8 ft.,0,20201227,2020-21,3,Running Layup Shot,Missed
118,244,Above the Break 3,Right Side Center(RC),24+ ft.,0,20201227,2020-21,3,Jump Shot,Missed
73,28,In The Paint (Non-RA),Center(C),Less Than 8 ft.,0,20201227,2020-21,3,Driving Layup Shot,Missed
179,214,Above the Break 3,Right Side Center(RC),24+ ft.,0,20201227,2020-21,4,Jump Shot,Missed
41,13,In The Paint (Non-RA),Center(C),Less Than 8 ft.,0,20201227,2020-21,4,Layup Shot,Missed
-161,217,Above the Break 3,Left Side Center(LC),24+ ft.,0,20201227,2020-21,4,Jump Shot,Missed
197,179,Above the Break 3,Right Side Center(RC),24+ ft.,0,20201229,2020-21,1,Jump Shot,Missed
-214,150,Above the Break 3,Left Side Center(LC),24+ ft.,1,20201229,2020-21,2,Jump Shot,Made
233,-4,Right Corner 3,Right Side(R),24+ ft.,1,20201229,2020-21,3,Jump Shot,Made
-239,-9,Left Corner 3,Left Side(L),24+ ft.,0,20201229,2020-21,3,Jump Shot,Missed
-241,-10,Left Corner 3,Left Side(L),24+ ft.,1,20201229,2020-21,4,Jump Shot,Made
106,131,Mid-Range,Right Side Center(RC),16-24 ft.,0,20201229,2020-21,4,Pullup Jump shot,Missed
-2,9,Restricted Area,Center(C),Less Than 8 ft.,1,20201231,2020-21,1,Layup Shot,Made
185,184,Above the Break 3,Right Side Center(RC),24+ ft.,0,20201231,2020-21,2,Jump Shot,Missed
-243,8,Left Corner 3,Left Side(L),24+ ft.,0,20201231,2020-21,2,Jump Shot,Missed
-231,-6,Left Corner 3,Left Side(L),24+ ft.,0,20201231,2020-21,3,Jump Shot,Missed
48,-1,In The Paint (Non-RA),Center(C),Less Than 8 ft.,1,20201231,2020-21,3,Cutting Layup Shot,Made
-137,214,Above the Break 3,Left Side Center(LC),24+ ft.,1,20210101,2020-21,1,Jump Shot,Made
188,159,Above the Break 3,Right Side Center(RC),24+ ft.,0,20210101,2020-21,1,Jump Shot,Missed
223,47,Right Corner 3,Right Side(R),24+ ft.,0,20210101,2020-21,2,Jump Shot,Missed
179,183,Above the Break 3,Right Side Center(RC),24+ ft.,1,20210101,2020-21,3,Jump Shot,Made
230,74,Right Corner 3,Right Side(R),24+ ft.,1,20210101,2020-21,3,Jump Shot,Made
