SEASON,PERIOD,SHOT_ZONE_BASIC,FGA,FGM,FG_PCT
2020-21,1,Above the Break 3,33,9,0.2727272727272727
2020-21,1,In The Paint (Non-RA),9,5,0.5555555555555556
2020-21,1,Left Corner 3,5,0,0.0
2020-21,1,Mid-Range,6,3,0.5
2020-21,1,Restricted Area,18,11,0.6111111111111112
2020-21,1,Right Corner 3,4,1,0.25
2020-21,2,Above the Break 3,27,9,0.3333333333333333
2020-21,2,Backcourt,1,0,0.0
2020-21,2,In The Paint (Non-RA),16,9,0.5625
2020-21,2,Left Corner 3,8,4,0.5
2020-21,2,Restricted Area,21,14,0.6666666666666666
2020-21,2,Right Corner 3,3,0,0.0
2020-21,3,Above the Break 3,23,6,0.2608695652173913
2020-21,3,In The Paint (Non-RA),20,9,0.45
2020-21,3,Left Corner 3,7,1,0.14285714285714285
2020-21,3,Mid-Range,7,1,0.14285714285714285
2020-21,3,Restricted Area,14,7,0.5
2020-21,3,Right Corner 3,10,4,0.4
2020-21,4,Above the Break 3,34,15,0.4411764705882353
2020-21,4,In The Paint (Non-RA),12,2,0.16666666666666666
2020-21,4,Left Corner 3,7,2,0.2857142857142857
2020-21,4,Mid-Range,6,3,0.5
2020-21,4,Restricted Area,15,13,0.8666666666666667
2020-21,4,Right Corner 3,6,2,0.3333333333333333
2021-22,1,Above the Break 3,44,18,0.4090909090909091
2021-22,1,In The Paint (Non-RA),31,16,0.5161290322580645
2021-22,1,Left Corner 3,5,1,0.2
2021-22,1,Mid-Range,9,3,0.3333333333333333
2021-22,1,Restricted Area,55,35,0.6363636363636364
2021-22,1,Right Corner 3,11,5,0.45454545454545453
2021-22,2,Above the Break 3,52,16,0.3076923076923077
2021-22,2,Backcourt,1,0,0.0
2021-22,2,In The Paint (Non-RA),29,6,0.20689655172413793
2021-22,2,Left Corner 3,11,4,0.36363636363636365
2021-22,2,Mid-Range,10,4,0.4
2021-22,2,Restricted Area,44,27,0.6136363636363636
2021-22,2,Right Corner 3,12,3,0.25
2021-22,3,Above the Break 3,46,13,0.2826086956521739
2021-22,3,In The Paint (Non-RA),25,6,0.24
2021-22,3,Left Corner 3,9,2,0.2222222222222222
2021-22,3,Mid-Range,4,1,0.25
2021-22,3,Restricted Area,35,23,0.6571428571428571
2021-22,3,Right Corner 3,10,3,0.3
2021-22,4,Above the Break 3,48,16,0.3333333333333333
2021-22,4,In The Paint (Non-RA),27,19,0.7037037037037037
2021-22,4,Left Corner 3,5,0,0.0
2021-22,4,Mid-Range,8,2,0.25
2021-22,4,Restricted Area,41,25,0.6097560975609756
2021-22,4,Right Corner 3,5,1,0.2
2021-22,5,Restricted Area,1,1,1.0
2021-22,6,In The Paint (Non-RA),1,0,0.0
2022-23,1,Above the Break 3,48,10,0.20833333333333334
2022-23,1,Backcourt,1,0,0.0
2022-23,1,In The Paint (Non-RA),29,10,0.3448275862068966
2022-23,1,Left Corner 3,12,4,0.3333333333333333
2022-23,1,Mid-Range,6,1,0.16666666666666666
2022-23,1,Restricted Area,68,49,0.7205882352941176
2022-23,1,Right Corner 3,14,6,0.42857142857142855
2022-23,2,Above the Break 3,45,16,0.35555555555555557
2022-23,2,In The Paint (Non-RA),30,7,0.23333333333333334
2022-23,2,Left Corner 3,7,1,0.14285714285714285
2022-23,2,Mid-Range,5,1,0.2
2022-23,2,Restricted Area,57,38,0.6666666666666666
2022-23,2,Right Corner 3,6,3,0.5
2022-23,3,Above the Break 3,41,16,0.3902439024390244
2022-23,3,In The Paint (Non-RA),25,8,0.32
2022-23,3,Left Corner 3,2,0,0.0
2022-23,3,Mid-Range,4,1,0.25
2022-23,3,Restricted Area,46,30,0.6521739130434783
2022-23,3,Right Corner 3,9,1,0.1111111111111111
2022-23,4,Above the Break 3,36,6,0.16666666666666666
2022-23,4,In The Paint (Non-RA),26,9,0.34615384615384615
2022-23,4,Left Corner 3,7,4,0.5714285714285714
2022-23,4,Mid-Range,5,1,0.2
2022-23,4,Restricted Area,46,29,0.6304347826086957
2022-23,4,Right Corner 3,4,2,0.5
2023-24,1,Above the Break 3,46,16,0.34782608695652173
2023-24,1,Backcourt,1,0,0.0
2023-24,1,In The Paint (Non-RA),65,17,0.26153846153846155
2023-24,1,Left Corner 3,11,7,0.6363636363636364
2023-24,1,Mid-Range,12,3,0.25
2023-24,1,Restricted Area,91,67,0.7362637362637363
2023-24,1,Right Corner 3,9,4,0.4444444444444444
2023-24,2,Above the Break 3,52,21,0.40384615384615385
2023-24,2,Backcourt,1,0,0.0
2023-24,2,In The Paint (Non-RA),39,14,0.358974358974359
2023-24,2,Left Corner 3,10,4,0.4
2023-24,2,Mid-Range,9,3,0.3333333333333333
2023-24,2,Restricted Area,98,67,0.6836734693877551
