PLAYER_ID,PLAYER_NAME,GP,MIN,MIN_TOT,PTS,PTS_TOT,REB,REB_TOT,AST,AST_TOT,STL,STL_TOT,BLK,BLK_TOT,FG_PCT,FG3_PCT,USG_PCT,IS_LEBRON
2544,LeBron James,81,37.7,3054.0633333333335,28.4,2304,7.6,613,7.2,587,1.7,137,1.1,93,0.489,0.344,0.33,True
201166,Aaron Brooks,80,25.0,1998.17,11.2,894,2.0,157,3.0,238,0.6,46,0.1,8,0.404,0.366,0.226,False
201189,Aaron Gray,56,12.8,715.1083333333333,3.5,196,3.9,220,0.8,46,0.3,14,0.3,18,0.485,0.0,0.139,False
201151,Acie Law,55,10.2,559.5233333333333,2.9,162,1.1,58,1.6,86,0.2,11,0.1,3,0.374,0.31,0.157,False
200747,Adam Morrison,52,13.7,711.0516666666666,4.0,209,1.5,80,0.8,41,0.2,9,0.1,4,0.359,0.333,0.173,False
1502,Adonal Foyle,10,6.2,61.93333333333333,1.7,17,2.6,26,0.1,1,0.0,0,0.8,8,0.636,0.0,0.119,False
1733,Al Harrington,73,34.9,2546.4616666666666,20.1,1469,6.2,455,1.4,102,1.2,88,0.3,22,0.439,0.364,0.254,False
201143,Al Horford,67,33.5,2242.2116666666666,11.5,773,9.3,624,2.4,163,0.8,53,1.4,95,0.525,0.0,0.165,False
2744,Al Jefferson,50,36.7,1835.7866666666666,23.1,1156,11.0,548,1.6,79,0.8,39,1.7,83,0.497,0.0,0.285,False
201154,Al Thornton,71,37.4,2654.05,16.8,1194,5.2,368,1.5,103,0.8,59,0.9,62,0.446,0.253,0.225,False
201169,Alando Tucker,30,9.4,282.3883333333333,4.6,138,1.0,31,0.4,12,0.2,5,0.0,1,0.43,0.348,0.209,False
101165,Alex Acker,25,8.0,199.57833333333335,2.9,72,1.0,24,0.5,12,0.2,5,0.2,4,0.395,0.35,0.198,False
201582,Alexis Ajinca,31,5.9,182.25666666666666,2.3,70,1.0,30,0.1,3,0.2,7,0.2,6,0.362,0.0,0.246,False
947,Allen Iverson,57,36.7,2092.43,17.5,995,3.0,173,5.0,283,1.5,88,0.1,6,0.417,0.283,0.258,False
