LOC_X,LOC_Y,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_MADE_FLAG,GAME_DATE,SEASON,PERIOD,ACTION_TYPE,SHOT_RESULT
-142,137,Mid-Range,Left Side Center(LC),16-24 ft.,1,20081028,2008-09,1,Pullup Jump shot,Made
-70,244,Above the Break 3,Center(C),24+ ft.,0,20081028,2008-09,1,Jump Shot,Missed
4,12,Restricted Area,Center(C),Less Than 8 ft.,0,20081028,2008-09,1,Driving Layup Shot,Missed
-231,19,Left Corner 3,Left Side(L),24+ ft.,0,20081028,2008-09,1,Jump Shot,Missed
2,12,Restricted Area,Center(C),Less Than 8 ft.,0,20081028,2008-09,1,Layup Shot,Missed
10,-5,Restricted Area,Center(C),Less Than 8 ft.,1,20081028,2008-09,1,Alley Oop Layup shot,Made
0,205,Mid-Range,Center(C),16-24 ft.,0,20081028,2008-09,1,Jump Shot,Missed
1,6,Restricted Area,Center(C),Less Than 8 ft.,1,20081028,2008-09,1,Dunk Shot,Made
-123,183,Mid-Range,Left Side Center(LC),16-24 ft.,0,20081028,2008-09,2,Jump Shot,Missed
1,-5,Restricted Area,Center(C),Less Than 8 ft.,1,20081028,2008-09,2,Alley Oop Dunk Shot,Made
-114,123,Mid-Range,Left Side Center(LC),16-24 ft.,0,20081028,2008-09,3,Jump Shot,Missed
4,6,Restricted Area,Center(C),Less Than 8 ft.,0,20081028,2008-09,3,Layup Shot,Missed
4,1,Restricted Area,Center(C),Less Than 8 ft.,1,20081028,2008-09,3,Driving Layup Shot,Made
-2,4,Restricted Area,Center(C),Less Than 8 ft.,1,20081028,2008-09,3,Driving Layup Shot,Made
97,203,Mid-Range,Right Side Center(RC),16-24 ft.,1,20081028,2008-09,3,Jump Shot,Made
-62,78,In The Paint (Non-RA),Left Side(L),8-16 ft.,0,20081028,2008-09,4,Jump Shot,Missed
-4,1,Restricted Area,Center(C),Less Than 8 ft.,1,20081028,2008-09,4,Layup Shot,Made
-166,181,Above the Break 3,Left Side Center(LC),24+ ft.,0,20081028,2008-09,4,Jump Shot,Missed
0,-8,Restricted Area,Center(C),Less Than 8 ft.,1,20081028,2008-09,4,Alley Oop Dunk Shot,Made
-234,82,Left Corner 3,Left Side(L),24+ ft.,0,20081028,2008-09,4,Jump Shot,Missed
-4,4,Restricted Area,Center(C),Less Than 8 ft.,0,20081028,2008-09,4,Layup Shot,Missed
1,1,Restricted Area,Center(C),Less Than 8 ft.,1,20081030,2008-09,1,Driving Slam Dunk Shot,Made
-131,74,Mid-Range,Left Side(L),8-16 ft.,0,20081030,2008-09,1,Turnaround Jump Shot,Missed
-157,78,Mid-Range,Left Side(L),16-24 ft.,0,20081030,2008-09,1,Jump Shot,Missed
-2,-6,Restricted Area,Center(C),Less Than 8 ft.,1,20081030,2008-09,1,Layup Shot,Made
-2,7,Restricted Area,Center(C),Less Than 8 ft.,1,20081030,2008-09,1,Layup Shot,Made
2,3,Restricted Area,Center(C),Less Than 8 ft.,1,20081030,2008-09,2,Putback Layup Shot,Made
0,159,Mid-Range,Center(C),8-16 ft.,0,20081030,2008-09,2,Jump Shot,Missed
-127,58,Mid-Range,Left Side(L),8-16 ft.,0,20081030,2008-09,2,Turnaround Jump Shot,Missed
184,200,Above the Break 3,Right Side Center(RC),24+ ft.,0,20081030,2008-09,3,Jump Shot,Missed
-51,126,In The Paint (Non-RA),Center(C),8-16 ft.,0,20081030,2008-09,3,Jump Shot,Missed
-4,4,Restricted Area,Center(C),Less Than 8 ft.,1,20081030,2008-09,3,Driving Layup Shot,Made
-232,64,Left Corner 3,Left Side(L),24+ ft.,0,20081030,2008-09,3,Jump Shot,Missed
-75,170,Mid-Range,Left Side Center(LC),16-24 ft.,0,20081030,2008-09,3,Jump Shot,Missed
