SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,SEASON,PLAYER_NAME
22015,201956,0021501135,"Apr 01, 2016",SAC vs. MIA,L,8,1,3,0.333,0,0,0.0,0,2,0.0,1,0,1,0,0,0,0,1,2,-16,1,2015-16,Omri Casspi
22015,201956,0021501120,"Mar 30, 2016",SAC vs. WAS,W,26,5,7,0.714,1,2,0.5,4,4,1.0,1,7,8,1,0,0,2,2,15,4,1,2015-16,Omri Casspi
22015,201956,0021501105,"Mar 28, 2016",SAC @ POR,L,30,6,14,0.429,2,3,0.667,4,8,0.5,0,6,6,5,0,0,2,1,18,-18,1,2015-16,Omri Casspi
22015,201956,0021501095,"Mar 27, 2016",SAC vs. DAL,W,23,4,5,0.8,1,1,1.0,1,2,0.5,0,3,3,4,1,1,1,4,10,15,1,2015-16,Omri Casspi
22015,201956,0021501079,"Mar 25, 2016",SAC vs. PHX,W,30,1,7,0.143,0,1,0.0,5,6,0.833,2,6,8,5,0,0,2,2,7,9,1,2015-16,Omri Casspi
22015,201956,0021501062,"Mar 23, 2016",SAC @ MIN,L,26,4,9,0.444,1,2,0.5,3,6,0.5,1,3,4,1,0,1,1,2,12,-3,1,2015-16,Omri Casspi
22015,201956,0021501049,"Mar 21, 2016",SAC @ CHI,L,22,2,6,0.333,1,3,0.333,2,4,0.5,3,5,8,3,1,0,0,1,7,11,1,2015-16,Omri Casspi
22015,201956,0021501042,"Mar 20, 2016",SAC @ NYK,W,19,5,9,0.556,1,4,0.25,4,6,0.667,2,3,5,0,1,0,1,3,15,6,1,2015-16,Omri Casspi
22015,201956,0021501010,"Mar 16, 2016",SAC vs. NOP,L,27,5,12,0.417,2,4,0.5,0,0,0.0,0,6,6,1,1,0,1,1,12,-1,1,2015-16,Omri Casspi
22015,201956,0021501002,"Mar 15, 2016",SAC @ LAL,W,20,4,11,0.364,0,3,0.0,1,3,0.333,0,4,4,1,4,1,0,1,9,-10,1,2015-16,Omri Casspi
22015,201956,0021500986,"Mar 13, 2016",SAC vs. UTA,L,26,8,12,0.667,4,4,1.0,0,0,0.0,1,2,3,0,1,0,1,2,20,5,1,2015-16,Omri Casspi
22015,201956,0021500970,"Mar 11, 2016",SAC vs. ORL,L,28,3,13,0.231,1,4,0.25,3,3,1.0,0,2,2,0,1,0,0,2,10,3,1,2015-16,Omri Casspi
22015,201956,0021500957,"Mar 09, 2016",SAC vs. CLE,L,23,6,9,0.667,1,2,0.5,0,0,0.0,0,1,1,0,0,0,2,3,13,3,1,2015-16,Omri Casspi
22015,201956,0021500941,"Mar 07, 2016",SAC @ NOP,L,18,4,6,0.667,1,3,0.333,6,7,0.857,2,5,7,1,1,0,1,1,15,-10,1,2015-16,Omri Casspi
22015,201956,0021500928,"Mar 05, 2016",SAC @ SAS,L,21,3,10,0.3,0,4,0.0,0,0,0.0,1,3,4,0,3,1,2,2,6,-7,1,2015-16,Omri Casspi
22015,201956,0021500910,"Mar 03, 2016",SAC @ DAL,W,20,3,8,0.375,1,6,0.167,2,2,1.0,0,4,4,1,1,1,0,0,9,4,1,2015-16,Omri Casspi
